customer_state,total_payment_value,payment_count,principal_payment_type,total_freight,total_weight_g,total_volume_cm3,seller_state_count,category_count,principal_category_by_price,principal_seller_state_by_price,distancia_km
SP,32.7,1,credit_card,12.8,200,2560,1,1,cama_mesa_banho,SP,309.131371
SP,54.36,1,credit_card,16.11,583,8400,1,1,brinquedos,SP,430.144201
SP,29.75,1,credit_card,11.85,250,4800,1,1,cama_mesa_banho,SP,209.757656
SP,118.86,1,boleto,8.96,525,4368,1,1,beleza_saude,SP,11.680956
SP,88.9,1,credit_card,8.91,250,3960,1,1,beleza_saude,SP,13.817425
SP,192.68,1,credit_card,13.69,292,1632,1,1,relogios_presentes,SP,310.592394
SP,63.1,1,credit_card,14.1,3000,8349,1,1,moveis_decoracao,PR,328.060825
RJ,100.25,1,credit_card,15.35,800,19166,1,1,brinquedos,SP,346.123156
SP,43,1,boleto,15.1,200,2016,1,1,informatica_acessorios,MG,748.532568
SP,49.69,1,credit_card,12.79,700,4800,1,1,cama_mesa_banho,SP,301.251615
SP,82.33,1,credit_card,12.43,2600,15000,1,1,moveis_decoracao,SP,98.07387
RJ,386.33,1,credit_card,17.33,394,2618,1,1,relogios_presentes,SP,516.923901
SP,50.25,1,credit_card,11.85,950,14000,1,1,moveis_decoracao,SP,122.240266
SP,141.15,1,boleto,28.15,5950,48000,1,1,esporte_lazer,PR,322.488765
SP,91.66,1,boleto,11.76,949,15600,1,1,cama_mesa_banho,SP,7.844358
RJ,317.34,1,credit_card,18.34,1813,10920,1,1,esporte_lazer,SP,348.6625
SP,201.82,1,boleto,15.82,700,1280,1,1,relogios_presentes,SP,22.92607
SP,27.77,1,credit_card,7.78,100,4500,1,1,beleza_saude,SP,22.584829
SP,574.36,1,boleto,30.36,10600,20280,1,1,esporte_lazer,SP,233.685865
SP,409.79,1,boleto,14.89,813,8192,1,1,informatica_acessorios,PR,490.744174
SP,23.69,1,credit_card,12.79,200,8000,1,1,moveis_decoracao,SP,212.421875
SP,172.14,1,credit_card,12.14,1400,13932,1,1,utilidades_domesticas,SP,57.254123
SP,42.59,1,credit_card,12.69,2600,9000,1,1,esporte_lazer,SP,72.185091
SP,21.38,1,boleto,7.39,200,3750,1,1,beleza_saude,SP,30.181962
SP,96.01,1,credit_card,26.11,12300,64000,1,1,moveis_decoracao,MG,108.176603
SP,28.62,1,voucher,8.72,350,2640,1,1,utilidades_domesticas,SP,59.821842
RJ,111.89,1,credit_card,26.9,2200,10580,1,1,beleza_saude,SP,343.784042
SP,74.03,1,credit_card,14.13,7000,32994,1,1,utilidades_domesticas,SP,51.490309
RJ,58,1,credit_card,15.1,267,4320,1,1,utilidades_domesticas,SP,396.508105
RJ,53.2,1,voucher,28.2,300,19440,1,1,esporte_lazer,SP,330.741872
SP,84.57,1,credit_card,14.58,1350,24750,1,1,cama_mesa_banho,SP,300.303169
RJ,142.16,1,credit_card,78.56,6900,56350,1,1,moveis_decoracao,SP,349.642062
SP,141.9,1,credit_card,12,1550,4692,1,1,cama_mesa_banho,SP,150.245716
SP,113.62,1,credit_card,13.72,1500,11232,1,1,cama_mesa_banho,SP,288.33388
SP,95.52,1,credit_card,16.54,200,8736,1,1,beleza_saude,SP,68.502249
RJ,68.59,1,credit_card,13.6,300,1638,1,1,cama_mesa_banho,RJ,147.106927
RJ,141.67,1,credit_card,11.77,1150,6900,1,1,esporte_lazer,RJ,16.046643
SP,89.88,1,credit_card,19.98,2267,5148,1,1,beleza_saude,PR,320.980071
SP,118.35,1,credit_card,8.03,150,990,1,1,beleza_saude,SP,98.280698
SP,309.72,1,credit_card,33.75,1600,32400,1,1,esporte_lazer,SP,66.579504
SP,232.14,1,credit_card,16.92,500,18490,1,2,beleza_saude,SP,77.238492
SP,156.67,1,boleto,29.68,6150,55680,1,1,beleza_saude,SP,68.168861
SP,97.88,1,credit_card,8.39,353,3456,1,1,beleza_saude,SP,15.587591
SP,285.59,1,credit_card,55.69,9350,44100,1,1,esporte_lazer,PR,401.294164
SP,43.29,1,credit_card,7.39,264,3808,1,1,cama_mesa_banho,SP,26.871752
SP,65.47,1,credit_card,13.08,2450,5760,1,1,beleza_saude,SP,25.519723
SP,98.16,1,boleto,10.79,1100,8320,1,1,utilidades_domesticas,SP,6.054804
SP,77.03,1,credit_card,17.13,7000,32994,1,1,utilidades_domesticas,SP,5.41112
SP,83.05,1,credit_card,13.15,125,6080,1,1,beleza_saude,SP,286.068739
SP,35.24,1,boleto,9.34,750,11250,1,1,esporte_lazer,SP,15.289469
SP,41.69,1,credit_card,12.79,800,9000,1,1,esporte_lazer,SP,207.589519
