@relation 'df_distancia-weka.filters.unsupervised.attribute.Remove-R1-3-weka.filters.unsupervised.attribute.Remove-R3-5,9-10,13-19,21-24,28-40,42-43,46-53,55,57-59,61-62,65-67,69-73,76'

@attribute customer_state {SP,RJ}
@attribute total_payment_value numeric
@attribute total_freight numeric
@attribute total_weight_g numeric
@attribute total_volume_cm3 numeric
@attribute principal_category_by_price {utilidades_domesticas,cama_mesa_banho,brinquedos,beleza_saude,relogios_presentes,moveis_decoracao,informatica_acessorios,esporte_lazer}
@attribute principal_seller_state_by_price {SP,PR,MG,RJ}
@attribute purchase_year numeric
@attribute facturacion_promedio_t1 numeric
@attribute facturacion_mediana_t1 numeric
@attribute facturacion_std_t1 numeric
@attribute facturacion_total_7d_avg numeric
@attribute dias_entrega_promedio_7d_avg numeric
@attribute dias_entrega_promedio_t2 numeric
@attribute dias_entrega_promedio_prev_month numeric
@attribute es_post_domingo_festivo numeric
@attribute es_diciembre numeric
@attribute es_fin_de_semana_extendido numeric
@attribute distancia_km numeric
@attribute distancia_total_t1 numeric
@attribute distancia_total_prev_month numeric
@attribute delivery_days numeric

@data
SP,38.71,8.72,500,1976,utilidades_domesticas,SP,2017,111.890769,91.66,107.145481,22598.834286,10.860524,10.043478,11.886244,1,0,0,18.57611,4025.883311,291643.578332,8
SP,32.7,12.8,200,2560,cama_mesa_banho,SP,2018,169.101283,112.68,247.276641,23369.875714,7.619223,9.063401,11.552505,0,0,0,309.131371,25252.144071,489980.283895,4
SP,54.36,16.11,583,8400,brinquedos,SP,2018,146.652034,100.23,178.509146,36049.144286,14.77198,15.841772,14.586934,0,0,0,430.144201,21694.682189,422407.097607,11
SP,29.75,11.85,250,4800,cama_mesa_banho,SP,2017,170.919272,117.6,172.799682,18785.982857,12.902686,12,11.846389,0,0,0,209.757656,9623.066166,345715.109856,6
SP,118.86,8.96,525,4368,beleza_saude,SP,2017,219.488889,106.805,345.413735,27193.461429,11.561738,10.369565,11.02144,1,0,0,11.680956,6110.978959,305993.249671,21
SP,88.9,8.91,250,3960,beleza_saude,SP,2018,138.861099,100.485,136.177752,30192.771429,15.758284,15.924686,14.586934,0,0,0,13.817425,15249.215838,422407.097607,4
SP,192.68,13.69,292,1632,relogios_presentes,SP,2018,142.808909,102.05,120.419847,36148.887143,17.417759,13.025907,16.552935,1,0,0,310.592394,8617.038965,475528.215386,14
SP,63.1,14.1,3000,8349,moveis_decoracao,PR,2017,154.924854,99.725,189.887078,39168.767143,11.443648,10.264706,11.723562,0,1,0,328.060825,31588.129177,343849.808439,22
RJ,100.25,15.35,800,19166,brinquedos,SP,2018,166.243536,100.28,285.381314,34959.787143,12.972842,11.965517,15.685915,0,0,1,346.123156,15783.454128,352932.881383,18
SP,43,15.1,200,2016,informatica_acessorios,MG,2017,120.173333,129.79,56.727381,19868.865714,10.469906,9.1875,11.140125,1,0,0,748.532568,3475.184066,205372.622305,7
SP,49.69,12.79,700,4800,cama_mesa_banho,SP,2018,211.847647,160.14,210.419599,36035.785714,14.989747,13.3,14.586934,1,0,0,301.251615,7159.639564,422407.097607,10
SP,82.33,12.43,2600,15000,moveis_decoracao,SP,2018,154.851445,113.05,178.839639,47455.257143,11.913726,10.784,16.552935,0,0,0,98.07387,22961.161362,475528.215386,3
RJ,386.33,17.33,394,2618,relogios_presentes,SP,2017,173.528304,105.38,239.844784,39983.462857,12.257722,12.727869,11.723562,0,1,1,516.923901,14642.728132,343849.808439,19
SP,50.25,11.85,950,14000,moveis_decoracao,SP,2017,148.47414,110.93,170.656404,21264.681429,12.650067,10.980645,10.36886,0,0,0,122.240266,9442.398406,256548.885209,4
