customer_state,total_payment_value,total_freight,total_weight_g,total_volume_cm3,principal_category_by_price,principal_seller_state_by_price,purchase_year,facturacion_promedio_t1,facturacion_mediana_t1,facturacion_std_t1,facturacion_total_7d_avg,dias_entrega_promedio_7d_avg,dias_entrega_promedio_t2,dias_entrega_promedio_prev_month,es_post_domingo_festivo,es_diciembre,es_fin_de_semana_extendido,distancia_km,distancia_total_t1,distancia_total_prev_month,delivery_days
RJ,125.43,15.53,700.0,4650.0,b'brinquedos',SP,2017,145.587227,105.38,124.665594,37111.531429,10.920741,11.415686,11.723562,0,1,1,363.934595,7301.300601,343480.138209,11.0
SP,82.33,12.43,2600.0,15000.0,b'moveis_decoracao',SP,2018,177.759936,101.965,318.188102,43288.224286,16.61353,14.788043,14.949342,0,0,1,29.146433,16646.356044,390767.341004,5.0
SP,48.74,11.74,500.0,2508.0,b'moveis_decoracao',SP,2017,155.509587,91.07,210.126225,10991.042857,11.711387,11.716418,9.861342,0,0,0,81.493915,2713.733708,100733.911078,12.0
RJ,34.0,15.1,300.0,4800.0,b'cama_mesa_banho',SP,2017,132.01645,97.78,123.679278,19588.845714,10.658581,10.728261,10.36886,0,0,0,581.191124,10812.168739,254990.21744,12.0
SP,44.0,15.1,375.0,528.0,b'beleza_saude',RJ,2018,133.932899,103.07,128.840126,30537.261429,18.114019,13.868726,13.715038,0,0,1,431.392964,8888.905212,455464.133916,9.0
RJ,217.88,8.88,50.0,5625.0,b'beleza_saude',RJ,2018,271.335714,129.79,342.191097,25554.294286,9.961427,8.637931,11.552505,0,0,0,12.902824,0.0,488209.852444,1.0
SP,198.92,24.02,2550.0,23400.0,b'moveis_decoracao',PR,2018,161.17401,114.32,183.900492,9708.411429,9.786184,10.6,11.552505,0,0,1,732.066591,15375.492958,488209.852444,11.0
SP,62.61,13.71,900.0,23625.0,b'cama_mesa_banho',SP,2018,160.886411,96.225,188.980103,42481.727143,16.553122,17.215094,14.949342,0,0,1,278.457551,21744.63958,390767.341004,11.0
RJ,69.48,15.48,250.0,352.0,b'relogios_presentes',SP,2018,161.304949,101.495,217.304079,47105.684286,8.663476,8.262987,9.806023,0,0,1,363.209298,29600.962713,424423.205949,5.0
RJ,61.4,18.4,150.0,5832.0,b'esporte_lazer',SP,2018,182.363333,197.58,145.941184,42215.187143,7.725264,5.880435,9.806023,1,0,0,288.220907,14192.500276,424423.205949,7.0
SP,67.39,7.39,200.0,1960.0,b'esporte_lazer',SP,2018,163.708112,114.53,173.090469,41758.151429,16.571688,22.727273,14.949342,0,0,0,90.058405,21853.408932,390767.341004,2.0
SP,114.91,15.01,1400.0,3500.0,b'cama_mesa_banho',SP,2018,140.598539,97.61,128.845656,38148.704286,11.068843,7.298361,9.806023,0,0,1,293.390497,2861.22881,424423.205949,8.0
SP,63.34,9.34,750.0,10075.0,b'brinquedos',SP,2018,150.976151,104.975,226.284798,34334.654286,14.691213,14.048193,14.586934,0,0,1,10.65471,14637.40666,421109.470293,9.0
SP,104.3,54.8,1500.0,4400.0,b'moveis_decoracao',SP,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,143.193065,0.0,0.0,7.0
SP,25.03,15.23,67.0,3570.0,b'beleza_saude',RJ,2018,142.808909,102.05,120.419847,36148.887143,17.417759,13.025907,16.552935,1,0,0,357.63273,8617.038965,471112.176282,4.0
RJ,83.23,14.23,107.0,490.0,b'informatica_acessorios',MG,2017,146.611981,98.19,167.518805,22352.051429,10.370174,12.121212,10.36886,0,0,0,349.15502,10356.493169,254990.21744,5.0
SP,150.59,53.3,4850.0,101602.0,b'moveis_decoracao',SP,2017,196.174615,96.94,216.190891,22882.27,11.627508,10.918919,13.725249,1,0,0,118.429523,11356.680854,117455.248491,6.0
SP,85.81,7.81,250.0,640.0,b'relogios_presentes',SP,2018,179.0825,116.55,150.88685,39454.511429,10.063443,8.9375,13.721701,1,0,0,5.100609,5613.401541,481297.418576,2.0
SP,46.8,11.85,150.0,3564.0,b'informatica_acessorios',SP,2017,182.472391,99.825,300.998966,28462.505714,11.703354,10.242424,11.846389,0,0,1,284.686929,10830.692676,343516.704227,9.0
SP,53.11,15.11,725.0,5236.0,b'beleza_saude',PR,2017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,311.966283,5980.905203,254990.21744,8.0
SP,113.96,14.06,1000.0,4800.0,b'cama_mesa_banho',SP,2018,182.696302,115.555,227.349653,21043.361429,15.372546,11.162162,13.721701,0,0,0,317.555573,27082.710469,481297.418576,10.0
RJ,87.9,18.0,1100.0,12600.0,b'moveis_decoracao',SP,2017,133.161111,146.01,89.382178,3357.971667,7.457088,7.387097,51.5,0,0,1,559.364447,0.0,0.0,9.0
RJ,64.93,17.6,1400.0,352.0,b'esporte_lazer',SP,2017,126.495,107.48,94.892205,30153.948571,10.910082,10.026087,11.846389,1,0,0,439.542313,8146.368744,343516.704227,8.0
SP,69.73,12.74,850.0,18000.0,b'cama_mesa_banho',SP,2018,157.307835,98.215,206.77057,33355.728571,13.480949,12.454545,13.715038,0,0,0,395.619341,18229.620423,455464.133916,8.0
RJ,35.0,15.1,300.0,8000.0,b'informatica_acessorios',SP,2017,92.646667,80.52,42.498052,19107.818571,10.490189,9.785714,10.36886,1,0,0,392.94361,5209.893061,254990.21744,7.0
SP,49.24,9.34,725.0,7220.0,b'moveis_decoracao',SP,2017,349.7,349.7,0.0,19152.062857,9.758299,10.592593,12.847377,1,0,0,53.894337,8470.388675,250658.264608,2.0
SP,76.94,11.95,450.0,1280.0,b'informatica_acessorios',SP,2017,175.013091,101.48,253.855095,25481.274286,10.944267,13.0,11.886244,0,0,0,195.244361,13964.010971,291113.407386,7.0
SP,277.75,8.75,400.0,2244.0,b'relogios_presentes',SP,2018,161.165,111.87,189.13024,39478.931429,17.635127,12.909535,16.552935,0,0,1,32.215539,21860.252841,471112.176282,3.0
SP,258.51,8.61,363.0,3042.0,b'relogios_presentes',SP,2018,187.10192,117.79,258.923166,48305.822857,12.079549,11.576037,16.552935,0,0,0,86.330014,30623.818403,471112.176282,16.0
RJ,199.0,0.0,342.0,3510.0,b'relogios_presentes',SP,2018,158.103204,107.22,184.926288,42312.411429,14.670045,12.788991,14.949342,0,0,1,714.587714,20021.585537,390767.341004,17.0
SP,180.79,11.81,1250.0,6050.0,b'cama_mesa_banho',SP,2018,187.10192,117.79,258.923166,48305.822857,12.079549,11.576037,16.552935,0,0,0,59.283155,30623.818403,471112.176282,19.0
