customer_state,total_payment_value,total_freight,total_weight_g,total_volume_cm3,principal_category_by_price,principal_seller_state_by_price,purchase_year,facturacion_promedio_t1,facturacion_mediana_t1,facturacion_std_t1,facturacion_total_7d_avg,dias_entrega_promedio_7d_avg,dias_entrega_promedio_t2,dias_entrega_promedio_prev_month,es_post_domingo_festivo,es_diciembre,es_fin_de_semana_extendido,distancia_km,distancia_total_t1,distancia_total_prev_month,delivery_days
SP,38.71,8.72,500.0,1976.0,b'utilidades_domesticas',SP,2017.0,111.890769,91.66,107.145481,22598.834286,10.860524,10.043478,11.886244,1.0,0.0,0.0,18.57611,4025.883311,291113.407386,8.0
SP,32.7,12.8,200.0,2560.0,b'cama_mesa_banho',SP,2018.0,169.101283,112.68,247.276641,23369.875714,7.619223,9.063401,11.552505,0.0,0.0,0.0,309.131371,25226.900324,488209.852444,4.0
SP,29.75,11.85,250.0,4800.0,b'cama_mesa_banho',SP,2017.0,170.919272,117.6,172.799682,18785.982857,12.902686,12.0,11.846389,0.0,0.0,0.0,209.757656,9623.066166,343516.704227,6.0
SP,118.86,8.96,525.0,4368.0,b'beleza_saude',SP,2017.0,219.488889,106.805,345.413735,27193.461429,11.561738,10.369565,11.02144,1.0,0.0,0.0,11.680956,6110.978959,304388.330097,21.0
SP,88.9,8.91,250.0,3960.0,b'beleza_saude',SP,2018.0,138.861099,100.485,136.177752,30192.771429,15.758284,15.924686,14.586934,0.0,0.0,0.0,13.817425,15249.215838,421109.470293,4.0
SP,192.68,13.69,292.0,1632.0,b'relogios_presentes',SP,2018.0,142.808909,102.05,120.419847,36148.887143,17.417759,13.025907,16.552935,1.0,0.0,0.0,310.592394,8617.038965,471112.176282,14.0
SP,63.1,14.1,3000.0,8349.0,b'moveis_decoracao',PR,2017.0,154.924854,99.725,189.887078,39168.767143,11.443648,10.264706,11.723562,0.0,1.0,0.0,328.060825,31263.421494,343480.138209,22.0
RJ,100.25,15.35,800.0,19166.0,b'brinquedos',SP,2018.0,166.243536,100.28,285.381314,34959.787143,12.972842,11.965517,15.685915,0.0,0.0,1.0,346.123156,15733.527521,350875.393133,18.0
SP,43.0,15.1,200.0,2016.0,b'informatica_acessorios',MG,2017.0,120.173333,129.79,56.727381,19868.865714,10.469906,9.1875,11.140125,1.0,0.0,0.0,748.532568,3475.184066,204408.639154,7.0
SP,49.69,12.79,700.0,4800.0,b'cama_mesa_banho',SP,2018.0,211.847647,160.14,210.419599,36035.785714,14.989747,13.3,14.586934,1.0,0.0,0.0,301.251615,7021.780009,421109.470293,10.0
SP,82.33,12.43,2600.0,15000.0,b'moveis_decoracao',SP,2018.0,154.851445,113.05,178.839639,47455.257143,11.913726,10.784,16.552935,0.0,0.0,0.0,98.07387,22895.284932,471112.176282,3.0
RJ,386.33,17.33,394.0,2618.0,b'relogios_presentes',SP,2017.0,173.528304,105.38,239.844784,39983.462857,12.257722,12.727869,11.723562,0.0,1.0,1.0,516.923901,14642.728132,343480.138209,19.0
SP,50.25,11.85,950.0,14000.0,b'moveis_decoracao',SP,2017.0,148.47414,110.93,170.656404,21264.681429,12.650067,10.980645,10.36886,0.0,0.0,0.0,122.240266,9442.398406,254990.21744,4.0
